unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1668297600,2022-11-13 00:00:00,BTC/USD,16788,16790,16762,16784,1.74688979,29319.79823536
1668211200,2022-11-12 00:00:00,BTC/USD,17020,17054,16610,16788,1882.26415655,31599450.660161402
1668124800,2022-11-11 00:00:00,BTC/USD,17548,17645,16394,17007,5636.75561159,95864302.68631113
1668038400,2022-11-10 00:00:00,BTC/USD,15900,18150,15748,17551,8375.25692463,146994134.28418115
1667952000,2022-11-09 00:00:00,BTC/USD,18546,18588,15632,15877,8350.56544560,132581927.57979119
1667865600,2022-11-08 00:00:00,BTC/USD,20591,20669,17114,18550,12035.90178845,223265978.1757475
1667779200,2022-11-07 00:00:00,BTC/USD,20899,21070,20400,20590,1417.99563473,29196530.1190907
1667692800,2022-11-06 00:00:00,BTC/USD,21299,21364,20899,20907,551.95849001,11539796.15063907
1667606400,2022-11-05 00:00:00,BTC/USD,21152,21473,21089,21301,774.12522007,16489641.31271107
1667520000,2022-11-04 00:00:00,BTC/USD,20209,21290,20184,21153,3501.47535754,74066708.23804362
1667433600,2022-11-03 00:00:00,BTC/USD,20152,20387,20039,20209,1004.11893277,20292239.51234893
1667347200,2022-11-02 00:00:00,BTC/USD,20480,20802,20055,20154,2292.08236192,46194627.92213568
1667260800,2022-11-01 00:00:00,BTC/USD,20493,20681,20334,20480,1276.69180973,26146648.2632704
1667174400,2022-10-31 00:00:00,BTC/USD,20631,20833,20243,20498,1880.02456732,38536743.58092536
1667088000,2022-10-30 00:00:00,BTC/USD,20820,20931,20525,20628,679.83876303,14023714.00378284
1667001600,2022-10-29 00:00:00,BTC/USD,20596,21078,20566,20821,1213.18946622,25259817.87616662
1666915200,2022-10-28 00:00:00,BTC/USD,20295,20750,20008,20599,1827.61380674,37647016.80503726
1666828800,2022-10-27 00:00:00,BTC/USD,20771,20872,20210,20296,1669.88399576,33891965.577944964
1666742400,2022-10-26 00:00:00,BTC/USD,20096,21012,20062,20775,2711.06904662,56322459.4435305
1666656000,2022-10-25 00:00:00,BTC/USD,19332,20418,19222,20087,2804.51314609,56334255.56550983
1666569600,2022-10-24 00:00:00,BTC/USD,19576,19588,19169,19332,1155.86348440,22345152.8804208
1666483200,2022-10-23 00:00:00,BTC/USD,19208,19689,19079,19574,1195.62013587,23403068.53951938
1666396800,2022-10-22 00:00:00,BTC/USD,19166,19250,19118,19206,455.42088912,8746813.59643872
1666310400,2022-10-21 00:00:00,BTC/USD,19043,19245,18660,19165,1923.43991085,36862725.89144025
1666224000,2022-10-20 00:00:00,BTC/USD,19128,19340,18913,19043,1491.66449329,28405766.945721474
1666137600,2022-10-19 00:00:00,BTC/USD,19329,19356,19078,19126,1302.59535401,24913438.74079526
1666051200,2022-10-18 00:00:00,BTC/USD,19547,19700,19099,19334,1524.52635389,29475192.526109263
1665964800,2022-10-17 00:00:00,BTC/USD,19262,19672,19160,19547,1141.62350258,22315314.604931258
1665878400,2022-10-16 00:00:00,BTC/USD,19072,19425,19067,19264,417.01160964,8033311.64810496
1665792000,2022-10-15 00:00:00,BTC/USD,19184,19229,18990,19066,331.43098278,6319063.1176834805
1665705600,2022-10-14 00:00:00,BTC/USD,19374,19947,19083,19181,1313.80111372,25200019.162263323
1665619200,2022-10-13 00:00:00,BTC/USD,19156,19504,18183,19377,2920.78208384,56595994.438567676
1665532800,2022-10-12 00:00:00,BTC/USD,19061,19229,18967,19157,870.27070879,16671775.96829003
1665446400,2022-10-11 00:00:00,BTC/USD,19131,19265,18853,19059,1332.93245318,25404359.62515762
1665360000,2022-10-10 00:00:00,BTC/USD,19436,19525,19029,19131,1052.98301829,20144618.122905992
1665273600,2022-10-09 00:00:00,BTC/USD,19421,19604,19324,19445,707.27451611,13752952.965758951
1665187200,2022-10-08 00:00:00,BTC/USD,19533,19624,19259,19420,517.31876324,10046330.3821208
1665100800,2022-10-07 00:00:00,BTC/USD,19960,20056,19335,19532,1290.58016407,25207611.764615238
1665014400,2022-10-06 00:00:00,BTC/USD,20161,20447,19864,19951,1438.88952495,28707284.91227745
1664928000,2022-10-05 00:00:00,BTC/USD,20343,20366,19735,20162,1789.84892196,36086933.96455752
1664841600,2022-10-04 00:00:00,BTC/USD,19633,20469,19497,20343,2455.54289220,49953109.0560246
1664755200,2022-10-03 00:00:00,BTC/USD,19060,19715,18975,19636,1109.13176723,21778911.381328277
1664668800,2022-10-02 00:00:00,BTC/USD,19306,19395,18931,19051,518.03380521,9869062.02305571
1664582400,2022-10-01 00:00:00,BTC/USD,19419,19484,19174,19312,378.60698732,7311658.139123839
1664496000,2022-09-30 00:00:00,BTC/USD,19593,20171,19152,19425,2413.78432301,46887760.47446925
1664409600,2022-09-29 00:00:00,BTC/USD,19413,19630,18852,19592,1812.62118977,35512874.34997384
1664323200,2022-09-28 00:00:00,BTC/USD,19085,19770,18461,19413,3817.64021997,74111849.59027761
1664236800,2022-09-27 00:00:00,BTC/USD,19233,20381,18822,19075,4423.71693902,84382400.6118065
1664150400,2022-09-26 00:00:00,BTC/USD,18809,19313,18690,19226,3167.38799752,60896201.640319526
1664064000,2022-09-25 00:00:00,BTC/USD,18919,19182,18636,18810,979.44306377,18423324.029513698
1663977600,2022-09-24 00:00:00,BTC/USD,19291,19309,18817,18921,922.02394143,17445614.99579703
1663891200,2022-09-23 00:00:00,BTC/USD,19411,19491,18533,19294,2593.18338023,50032880.13815761
1663804800,2022-09-22 00:00:00,BTC/USD,18458,19541,18368,19403,2607.04175970,50584431.2634591
1663718400,2022-09-21 00:00:00,BTC/USD,18877,19902,18157,18466,5332.93776764,98478028.81724024
1663632000,2022-09-20 00:00:00,BTC/USD,19535,19634,18717,18878,2544.25288865,48030406.0319347
1663545600,2022-09-19 00:00:00,BTC/USD,19418,19679,18271,19538,3418.21694020,66785122.5776276
1663459200,2022-09-18 00:00:00,BTC/USD,20116,20116,19343,19419,1609.63965374,31257592.43597706
1663372800,2022-09-17 00:00:00,BTC/USD,19802,20187,19757,20114,947.27782708,19053546.213887118
1663286400,2022-09-16 00:00:00,BTC/USD,19704,19887,19330,19802,2514.42684614,49790680.407264285
1663200000,2022-09-15 00:00:00,BTC/USD,20226,20432,19500,19691,2531.57116280,49849167.7666948
